"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,0,100,0,1,-1
0.5,29,71,0.29,0.71,-0.42
1,5,95,0.05,0.95,-0.9
1.5,21,79,0.21,0.79,-0.58
2,49,51,0.49,0.51,-0.02
2.5,98,2,0.98,0.02,0.96
3,96,4,0.96,0.04,0.92
3.5,100,0,1,0,1
4,83,17,0.83,0.17,0.66
4.5,88,12,0.88,0.12,0.76
5,86,14,0.86,0.14,0.72
5.5,50,50,0.5,0.5,0
6,50,50,0.5,0.5,0
6.5,64,36,0.64,0.36,0.28
7,1,99,0.01,0.99,-0.98
7.5,17,83,0.17,0.83,-0.66
8,7,93,0.07,0.93,-0.86
8.5,16,84,0.16,0.84,-0.68
9,43,57,0.43,0.57,-0.14
9.5,75,25,0.75,0.25,0.5
10,99,1,0.99,0.01,0.98
10.5,47,53,0.47,0.53,-0.06
11,49,51,0.49,0.51,-0.02
11.5,22,78,0.22,0.78,-0.56
12,2,98,0.02,0.98,-0.96
12.5,4,96,0.04,0.96,-0.92
13,1,99,0.01,0.99,-0.98
13.5,4,96,0.04,0.96,-0.92
14,37,63,0.37,0.63,-0.26
14.5,42,58,0.42,0.58,-0.16
15,96,4,0.96,0.04,0.92
15.5,100,0,1,0,1
16,98,2,0.98,0.02,0.96
16.5,86,14,0.86,0.14,0.72
17,68,32,0.68,0.32,0.36
17.5,84,16,0.84,0.16,0.68
18,100,0,1,0,1
18.5,83,17,0.83,0.17,0.66
19,90,10,0.9,0.1,0.8
19.5,100,0,1,0,1
20,100,0,1,0,1
20.5,84,16,0.84,0.16,0.68
21,84,16,0.84,0.16,0.68
21.5,95,5,0.95,0.05,0.9
22,100,0,1,0,1
22.5,92,8,0.92,0.08,0.84
23,85,15,0.85,0.15,0.7
23.5,29,71,0.29,0.71,-0.42
24,33,67,0.33,0.67,-0.34
24.5,36,64,0.36,0.64,-0.28
25,37,63,0.37,0.63,-0.26
25.5,8,92,0.08,0.92,-0.84
26,43,57,0.43,0.57,-0.14
26.5,96,4,0.96,0.04,0.92
27,100,0,1,0,1
27.5,88,12,0.88,0.12,0.76
28,25,75,0.25,0.75,-0.5
28.5,6,94,0.06,0.94,-0.88
29,16,84,0.16,0.84,-0.68
29.5,22,78,0.22,0.78,-0.56
30,0,100,0,1,-1
30.5,0,100,0,1,-1
31,0,100,0,1,-1
31.5,1,99,0.01,0.99,-0.98
32,39,61,0.39,0.61,-0.22
32.5,32,68,0.32,0.68,-0.36
33,37,63,0.37,0.63,-0.26
33.5,80,20,0.8,0.2,0.6
34,32,68,0.32,0.68,-0.36
34.5,71,29,0.71,0.29,0.42
35,1,99,0.01,0.99,-0.98
35.5,25,75,0.25,0.75,-0.5
36,0,100,0,1,-1
36.5,18,82,0.18,0.82,-0.64
37,79,21,0.79,0.21,0.58
37.5,96,4,0.96,0.04,0.92
38,50,50,0.5,0.5,0
38.5,97,3,0.97,0.03,0.94
39,64,36,0.64,0.36,0.28
39.5,99,1,0.99,0.01,0.98
40,100,0,1,0,1
40.5,66,34,0.66,0.34,0.32
41,100,0,1,0,1
41.5,100,0,1,0,1
42,30,70,0.3,0.7,-0.4
42.5,28,72,0.28,0.72,-0.44
43,42,58,0.42,0.58,-0.16
43.5,25,75,0.25,0.75,-0.5
44,12,88,0.12,0.88,-0.76
44.5,11,89,0.11,0.89,-0.78
45,3,97,0.03,0.97,-0.94
45.5,12,88,0.12,0.88,-0.76
46,0,100,0,1,-1
46.5,37,63,0.37,0.63,-0.26
47,100,0,1,0,1
47.5,98,2,0.98,0.02,0.96
48,99,1,0.99,0.01,0.98
48.5,80,20,0.8,0.2,0.6
49,8,92,0.08,0.92,-0.84
49.5,11,89,0.11,0.89,-0.78
50,10,90,0.1,0.9,-0.8
50.5,0,100,0,1,-1
51,11,89,0.11,0.89,-0.78
51.5,7,93,0.07,0.93,-0.86
52,11,89,0.11,0.89,-0.78
52.5,9,91,0.09,0.91,-0.82
53,74,26,0.74,0.26,0.48
53.5,89,11,0.89,0.11,0.78
54,62,38,0.62,0.38,0.24
54.5,34,66,0.34,0.66,-0.32
55,15,85,0.15,0.85,-0.7
55.5,9,91,0.09,0.91,-0.82
56,15,85,0.15,0.85,-0.7
56.5,3,97,0.03,0.97,-0.94
57,0,100,0,1,-1
57.5,7,93,0.07,0.93,-0.86
58,6,94,0.06,0.94,-0.88
58.5,29,71,0.29,0.71,-0.42
59,17,83,0.17,0.83,-0.66
59.5,4,96,0.04,0.96,-0.92
60,19,81,0.19,0.81,-0.62
60.5,0,100,0,1,-1
61,1,99,0.01,0.99,-0.98
61.5,0,100,0,1,-1
62,79,21,0.79,0.21,0.58
62.5,94,6,0.94,0.06,0.88
63,81,19,0.81,0.19,0.62
63.5,100,0,1,0,1
64,79,21,0.79,0.21,0.58
64.5,67,33,0.67,0.33,0.34
65,94,6,0.94,0.06,0.88
65.5,74,26,0.74,0.26,0.48
66,76,24,0.76,0.24,0.52
66.5,84,16,0.84,0.16,0.68
67,90,10,0.9,0.1,0.8
67.5,68,32,0.68,0.32,0.36
68,35,65,0.35,0.65,-0.3
68.5,59,41,0.59,0.41,0.18
69,55,45,0.55,0.45,0.1
69.5,28,72,0.28,0.72,-0.44
70,66,34,0.66,0.34,0.32
70.5,56,44,0.56,0.44,0.12
71,100,0,1,0,1
71.5,87,13,0.87,0.13,0.74
72,97,3,0.97,0.03,0.94
72.5,94,6,0.94,0.06,0.88
73,60,40,0.6,0.4,0.2
73.5,99,1,0.99,0.01,0.98
74,96,4,0.96,0.04,0.92
74.5,38,62,0.38,0.62,-0.24
75,50,50,0.5,0.5,0
75.5,100,0,1,0,1
76,100,0,1,0,1
76.5,95,5,0.95,0.05,0.9
77,98,2,0.98,0.02,0.96
77.5,16,84,0.16,0.84,-0.68
78,92,8,0.92,0.08,0.84
78.5,91,9,0.91,0.09,0.82
79,94,6,0.94,0.06,0.88
79.5,100,0,1,0,1
80,61,39,0.61,0.39,0.22
80.5,31,69,0.31,0.69,-0.38
81,49,51,0.49,0.51,-0.02
81.5,76,24,0.76,0.24,0.52
82,0,100,0,1,-1
82.5,7,93,0.07,0.93,-0.86
83,10,90,0.1,0.9,-0.8
83.5,2,98,0.02,0.98,-0.96
84,5,95,0.05,0.95,-0.9
84.5,6,94,0.06,0.94,-0.88
85,46,54,0.46,0.54,-0.08
85.5,46,54,0.46,0.54,-0.08
86,100,0,1,0,1
86.5,82,18,0.82,0.18,0.64
87,75,25,0.75,0.25,0.5
87.5,94,6,0.94,0.06,0.88
88,64,36,0.64,0.36,0.28
88.5,19,81,0.19,0.81,-0.62
89,11,89,0.11,0.89,-0.78
89.5,73,27,0.73,0.27,0.46
90,75,25,0.75,0.25,0.5
90.5,74,26,0.74,0.26,0.48
91,52,48,0.52,0.48,0.04
91.5,88,12,0.88,0.12,0.76
92,20,80,0.2,0.8,-0.6
92.5,31,69,0.31,0.69,-0.38
93,87,13,0.87,0.13,0.74
93.5,86,14,0.86,0.14,0.72
94,84,16,0.84,0.16,0.68
94.5,71,29,0.71,0.29,0.42
95,38,62,0.38,0.62,-0.24
95.5,47,53,0.47,0.53,-0.06
96,99,1,0.99,0.01,0.98
96.5,94,6,0.94,0.06,0.88
97,89,11,0.89,0.11,0.78
97.5,28,72,0.28,0.72,-0.44
98,1,99,0.01,0.99,-0.98
98.5,5,95,0.05,0.95,-0.9
99,21,79,0.21,0.79,-0.58
99.5,22,78,0.22,0.78,-0.56
