"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,0,100,0,1,-1
0.5,0,100,0,1,-1
1,0,100,0,1,-1
1.5,0,100,0,1,-1
2,0,100,0,1,-1
2.5,0,100,0,1,-1
3,0,100,0,1,-1
3.5,0,100,0,1,-1
4,0,100,0,1,-1
4.5,0,100,0,1,-1
5,0,100,0,1,-1
5.5,0,100,0,1,-1
6,0,100,0,1,-1
6.5,0,100,0,1,-1
7,0,100,0,1,-1
7.5,0,100,0,1,-1
8,9,91,0.09,0.91,-0.82
8.5,77,23,0.77,0.23,0.54
9,0,100,0,1,-1
9.5,0,100,0,1,-1
10,0,100,0,1,-1
10.5,0,100,0,1,-1
11,0,100,0,1,-1
11.5,0,100,0,1,-1
12,0,100,0,1,-1
12.5,0,100,0,1,-1
13,0,100,0,1,-1
13.5,0,100,0,1,-1
14,0,100,0,1,-1
14.5,0,100,0,1,-1
15,0,100,0,1,-1
15.5,0,100,0,1,-1
16,0,100,0,1,-1
16.5,0,100,0,1,-1
17,0,100,0,1,-1
17.5,0,100,0,1,-1
18,0,100,0,1,-1
18.5,0,100,0,1,-1
19,0,100,0,1,-1
19.5,0,100,0,1,-1
20,0,100,0,1,-1
20.5,0,100,0,1,-1
21,0,100,0,1,-1
21.5,0,100,0,1,-1
22,0,100,0,1,-1
22.5,0,100,0,1,-1
23,0,100,0,1,-1
23.5,0,100,0,1,-1
24,0,100,0,1,-1
24.5,0,100,0,1,-1
25,0,100,0,1,-1
25.5,0,100,0,1,-1
26,0,100,0,1,-1
26.5,0,100,0,1,-1
27,0,100,0,1,-1
27.5,0,100,0,1,-1
28,0,100,0,1,-1
28.5,0,100,0,1,-1
29,0,100,0,1,-1
29.5,0,100,0,1,-1
30,0,100,0,1,-1
30.5,0,100,0,1,-1
31,0,100,0,1,-1
31.5,0,100,0,1,-1
32,0,100,0,1,-1
32.5,0,100,0,1,-1
33,0,100,0,1,-1
33.5,0,100,0,1,-1
34,0,100,0,1,-1
34.5,2,98,0.02,0.98,-0.96
35,0,100,0,1,-1
35.5,0,100,0,1,-1
36,0,100,0,1,-1
36.5,0,100,0,1,-1
37,5,95,0.05,0.95,-0.9
37.5,0,100,0,1,-1
38,0,100,0,1,-1
38.5,0,100,0,1,-1
39,0,100,0,1,-1
39.5,0,100,0,1,-1
40,0,100,0,1,-1
40.5,0,100,0,1,-1
41,0,100,0,1,-1
41.5,0,100,0,1,-1
42,0,100,0,1,-1
42.5,0,100,0,1,-1
43,0,100,0,1,-1
43.5,0,100,0,1,-1
44,0,100,0,1,-1
44.5,0,100,0,1,-1
45,0,100,0,1,-1
45.5,1,99,0.01,0.99,-0.98
46,0,100,0,1,-1
46.5,0,100,0,1,-1
47,0,100,0,1,-1
47.5,0,100,0,1,-1
48,0,100,0,1,-1
48.5,0,100,0,1,-1
49,0,100,0,1,-1
49.5,0,100,0,1,-1
50,0,100,0,1,-1
50.5,0,100,0,1,-1
51,0,100,0,1,-1
51.5,0,100,0,1,-1
52,0,100,0,1,-1
52.5,0,100,0,1,-1
53,0,100,0,1,-1
53.5,0,100,0,1,-1
54,0,100,0,1,-1
54.5,0,100,0,1,-1
55,0,100,0,1,-1
55.5,0,100,0,1,-1
56,0,100,0,1,-1
56.5,0,100,0,1,-1
57,0,100,0,1,-1
57.5,0,100,0,1,-1
58,0,100,0,1,-1
58.5,0,100,0,1,-1
59,0,100,0,1,-1
59.5,0,100,0,1,-1
60,0,100,0,1,-1
60.5,0,100,0,1,-1
61,0,100,0,1,-1
61.5,0,100,0,1,-1
62,0,100,0,1,-1
62.5,0,100,0,1,-1
63,0,100,0,1,-1
63.5,0,100,0,1,-1
64,0,100,0,1,-1
64.5,0,100,0,1,-1
65,0,100,0,1,-1
65.5,0,100,0,1,-1
66,0,100,0,1,-1
66.5,0,100,0,1,-1
67,0,100,0,1,-1
67.5,0,100,0,1,-1
68,0,100,0,1,-1
68.5,0,100,0,1,-1
69,0,100,0,1,-1
69.5,0,100,0,1,-1
70,0,100,0,1,-1
70.5,0,100,0,1,-1
71,0,100,0,1,-1
71.5,0,100,0,1,-1
72,0,100,0,1,-1
72.5,0,100,0,1,-1
73,0,100,0,1,-1
73.5,0,100,0,1,-1
74,0,100,0,1,-1
74.5,0,100,0,1,-1
75,0,100,0,1,-1
75.5,0,100,0,1,-1
76,0,100,0,1,-1
76.5,0,100,0,1,-1
77,0,100,0,1,-1
77.5,0,100,0,1,-1
78,0,100,0,1,-1
78.5,0,100,0,1,-1
79,0,100,0,1,-1
79.5,0,100,0,1,-1
80,0,100,0,1,-1
80.5,0,100,0,1,-1
81,0,100,0,1,-1
81.5,0,100,0,1,-1
82,0,100,0,1,-1
82.5,0,100,0,1,-1
83,0,100,0,1,-1
83.5,0,100,0,1,-1
84,0,100,0,1,-1
84.5,0,100,0,1,-1
85,0,100,0,1,-1
