"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,0,100,0,1,-1
0.5,0,100,0,1,-1
1,0,100,0,1,-1
1.5,6,94,0.06,0.94,-0.88
2,23,77,0.23,0.77,-0.54
2.5,41,59,0.41,0.59,-0.18
3,76,24,0.76,0.24,0.52
3.5,96,4,0.96,0.04,0.92
4,100,0,1,0,1
4.5,100,0,1,0,1
5,94,6,0.94,0.06,0.88
5.5,100,0,1,0,1
6,98,2,0.98,0.02,0.96
6.5,80,20,0.8,0.2,0.6
7,51,49,0.51,0.49,0.02
7.5,26,74,0.26,0.74,-0.48
8,10,90,0.1,0.9,-0.8
8.5,0,100,0,1,-1
9,0,100,0,1,-1
9.5,0,100,0,1,-1
10,0,100,0,1,-1
10.5,0,100,0,1,-1
11,0,100,0,1,-1
11.5,7,93,0.07,0.93,-0.86
12,0,100,0,1,-1
12.5,0,100,0,1,-1
13,0,100,0,1,-1
13.5,12,88,0.12,0.88,-0.76
14,0,100,0,1,-1
14.5,1,99,0.01,0.99,-0.98
15,1,99,0.01,0.99,-0.98
15.5,0,100,0,1,-1
16,0,100,0,1,-1
16.5,0,100,0,1,-1
17,0,100,0,1,-1
17.5,0,100,0,1,-1
18,3,97,0.03,0.97,-0.94
18.5,0,100,0,1,-1
19,0,100,0,1,-1
19.5,4,96,0.04,0.96,-0.92
20,2,98,0.02,0.98,-0.96
20.5,1,99,0.01,0.99,-0.98
21,4,96,0.04,0.96,-0.92
21.5,6,94,0.06,0.94,-0.88
22,0,100,0,1,-1
22.5,0,100,0,1,-1
23,0,100,0,1,-1
23.5,0,100,0,1,-1
24,0,100,0,1,-1
24.5,0,100,0,1,-1
25,4,96,0.04,0.96,-0.92
25.5,0,100,0,1,-1
26,0,100,0,1,-1
26.5,14,86,0.14,0.86,-0.72
27,23,77,0.23,0.77,-0.54
27.5,21,79,0.21,0.79,-0.58
28,1,99,0.01,0.99,-0.98
28.5,4,96,0.04,0.96,-0.92
29,10,90,0.1,0.9,-0.8
29.5,10,90,0.1,0.9,-0.8
30,22,78,0.22,0.78,-0.56
30.5,30,70,0.3,0.7,-0.4
31,38,62,0.38,0.62,-0.24
31.5,10,90,0.1,0.9,-0.8
32,8,92,0.08,0.92,-0.84
32.5,24,76,0.24,0.76,-0.52
33,48,52,0.48,0.52,-0.04
33.5,49,51,0.49,0.51,-0.02
34,71,29,0.71,0.29,0.42
34.5,62,38,0.62,0.38,0.24
35,74,26,0.74,0.26,0.48
35.5,65,35,0.65,0.35,0.3
36,26,74,0.26,0.74,-0.48
36.5,34,66,0.34,0.66,-0.32
37,29,71,0.29,0.71,-0.42
37.5,0,100,0,1,-1
38,0,100,0,1,-1
38.5,0,100,0,1,-1
39,1,99,0.01,0.99,-0.98
39.5,0,100,0,1,-1
40,4,96,0.04,0.96,-0.92
40.5,8,92,0.08,0.92,-0.84
41,0,100,0,1,-1
41.5,0,100,0,1,-1
42,0,100,0,1,-1
42.5,15,85,0.15,0.85,-0.7
43,40,60,0.4,0.6,-0.2
43.5,40,60,0.4,0.6,-0.2
44,62,38,0.62,0.38,0.24
44.5,82,18,0.82,0.18,0.64
45,69,31,0.69,0.31,0.38
45.5,76,24,0.76,0.24,0.52
46,98,2,0.98,0.02,0.96
46.5,100,0,1,0,1
47,99,1,0.99,0.01,0.98
47.5,100,0,1,0,1
48,100,0,1,0,1
48.5,98,2,0.98,0.02,0.96
49,100,0,1,0,1
49.5,100,0,1,0,1
50,100,0,1,0,1
50.5,100,0,1,0,1
51,75,25,0.75,0.25,0.5
51.5,85,15,0.85,0.15,0.7
52,53,47,0.53,0.47,0.06
52.5,58,42,0.58,0.42,0.16
53,15,85,0.15,0.85,-0.7
53.5,0,100,0,1,-1
54,0,100,0,1,-1
54.5,0,100,0,1,-1
55,0,100,0,1,-1
55.5,0,100,0,1,-1
56,0,100,0,1,-1
56.5,3,97,0.03,0.97,-0.94
57,4,96,0.04,0.96,-0.92
57.5,0,100,0,1,-1
58,1,99,0.01,0.99,-0.98
58.5,0,100,0,1,-1
59,0,100,0,1,-1
59.5,0,100,0,1,-1
60,1,99,0.01,0.99,-0.98
60.5,26,74,0.26,0.74,-0.48
61,14,86,0.14,0.86,-0.72
61.5,15,85,0.15,0.85,-0.7
62,75,25,0.75,0.25,0.5
62.5,79,21,0.79,0.21,0.58
63,96,4,0.96,0.04,0.92
63.5,96,4,0.96,0.04,0.92
64,100,0,1,0,1
64.5,100,0,1,0,1
65,100,0,1,0,1
65.5,95,5,0.95,0.05,0.9
66,83,17,0.83,0.17,0.66
66.5,76,24,0.76,0.24,0.52
67,78,22,0.78,0.22,0.56
67.5,66,34,0.66,0.34,0.32
68,30,70,0.3,0.7,-0.4
68.5,11,89,0.11,0.89,-0.78
69,13,87,0.13,0.87,-0.74
69.5,72,28,0.72,0.28,0.44
70,55,45,0.55,0.45,0.1
