X,longitude,latitude,lek_id,date,date_prev,date_curr,nnd_to_prev
0,74.4376722555601,27.7995946358604,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.3707244682170552
1,74.4377893004115,27.7998039109407,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.2732895160922348
3,74.4376520728363,27.7999293198476,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.1586006191031952
4,74.4376328017111,27.7993645956073,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.8515886307428411
6,74.4376016309199,27.7991366802414,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.7801035234063989
8,74.4374184854039,27.7992119052134,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.741479991426765
9,74.4373743496728,27.7989129978548,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,7.18570195758248
16,74.4374301619621,27.7994842606923,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,5.526208637408831
17,74.4374246648349,27.7995936942521,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,7.017283384248813
18,74.4375220897714,27.7997730807128,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.715441961437961
19,74.4375614795434,27.8001192382944,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.770111834006837
20,74.4374547427805,27.799982647911,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.762008193757202
21,74.4375051348816,27.8003010634847,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,18.457916379442217
23,74.437388620656,27.800201949391,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,11.587167451228026
24,74.437374281761,27.8004516514146,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.3136795773840179
25,74.4372730551741,27.8002974627067,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.3265093668989318
26,74.437444132503,27.8006187693748,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.0470639827371495
29,74.4372846892856,27.8000254515635,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.0417704958253644
30,74.4372911985095,27.7998305454572,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.11460784816822712
31,74.4373093778289,27.799615380069,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,14.301599707210917
32,74.4373119441749,27.7994802863661,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,11.152528895192242
33,74.4372822970314,27.7993708115705,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.3283438393758844
34,74.437243977544,27.7991452410943,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,7.792677956747769
35,74.4372054613094,27.7988693738009,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,13.842092585136044
36,74.4377817043423,27.7992001259656,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.7405560957449204
37,74.4371962342373,27.8005747267408,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.7374919725290656
38,74.4372183907412,27.8008211763266,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.3810467097305526
39,74.4372015531838,27.8010986259448,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.9613164019485227
40,74.4370953679319,27.8009545954988,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,6.993262437991732
41,74.4370564926159,27.8006923158962,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.27069445849654417
42,74.4370233492933,27.8003441586421,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,9.6206234272746
