"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,0,100,0,1,-1
0.5,16,84,0.16,0.84,-0.68
1,50,50,0.5,0.5,0
1.5,47,53,0.47,0.53,-0.06
2,61,39,0.61,0.39,0.22
2.5,48,52,0.48,0.52,-0.04
3,68,32,0.68,0.32,0.36
3.5,72,28,0.72,0.28,0.44
4,59,41,0.59,0.41,0.18
4.5,75,25,0.75,0.25,0.5
5,41,59,0.41,0.59,-0.18
5.5,70,30,0.7,0.3,0.4
6,61,39,0.61,0.39,0.22
6.5,47,53,0.47,0.53,-0.06
7,39,61,0.39,0.61,-0.22
7.5,25,75,0.25,0.75,-0.5
8,19,81,0.19,0.81,-0.62
8.5,33,67,0.33,0.67,-0.34
9,71,29,0.71,0.29,0.42
9.5,84,16,0.84,0.16,0.68
10,52,48,0.52,0.48,0.04
10.5,42,58,0.42,0.58,-0.16
11,53,47,0.53,0.47,0.06
11.5,29,71,0.29,0.71,-0.42
12,27,73,0.27,0.73,-0.46
12.5,19,81,0.19,0.81,-0.62
13,28,72,0.28,0.72,-0.44
13.5,22,78,0.22,0.78,-0.56
14,58,42,0.58,0.42,0.16
14.5,54,46,0.54,0.46,0.08
15,55,45,0.55,0.45,0.1
15.5,25,75,0.25,0.75,-0.5
16,20,80,0.2,0.8,-0.6
16.5,44,56,0.44,0.56,-0.12
17,34,66,0.34,0.66,-0.32
17.5,27,73,0.27,0.73,-0.46
18,47,53,0.47,0.53,-0.06
18.5,75,25,0.75,0.25,0.5
19,69,31,0.69,0.31,0.38
19.5,61,39,0.61,0.39,0.22
20,62,38,0.62,0.38,0.24
20.5,43,57,0.43,0.57,-0.14
21,70,30,0.7,0.3,0.4
21.5,66,34,0.66,0.34,0.32
22,57,43,0.57,0.43,0.14
22.5,62,38,0.62,0.38,0.24
23,88,12,0.88,0.12,0.76
23.5,66,34,0.66,0.34,0.32
24,53,47,0.53,0.47,0.06
24.5,62,38,0.62,0.38,0.24
25,52,48,0.52,0.48,0.04
25.5,41,59,0.41,0.59,-0.18
26,71,29,0.71,0.29,0.42
26.5,43,57,0.43,0.57,-0.14
27,36,64,0.36,0.64,-0.28
27.5,43,57,0.43,0.57,-0.14
28,56,44,0.56,0.44,0.12
28.5,63,37,0.63,0.37,0.26
29,59,41,0.59,0.41,0.18
29.5,47,53,0.47,0.53,-0.06
30,35,65,0.35,0.65,-0.3
30.5,40,60,0.4,0.6,-0.2
31,22,78,0.22,0.78,-0.56
31.5,38,62,0.38,0.62,-0.24
32,37,63,0.37,0.63,-0.26
32.5,37,63,0.37,0.63,-0.26
33,71,29,0.71,0.29,0.42
33.5,56,44,0.56,0.44,0.12
34,57,43,0.57,0.43,0.14
34.5,42,58,0.42,0.58,-0.16
35,53,47,0.53,0.47,0.06
35.5,63,37,0.63,0.37,0.26
36,64,36,0.64,0.36,0.28
36.5,55,45,0.55,0.45,0.1
37,53,47,0.53,0.47,0.06
37.5,57,43,0.57,0.43,0.14
38,37,63,0.37,0.63,-0.26
38.5,27,73,0.27,0.73,-0.46
39,25,75,0.25,0.75,-0.5
39.5,27,73,0.27,0.73,-0.46
40,50,50,0.5,0.5,0
40.5,25,75,0.25,0.75,-0.5
41,38,62,0.38,0.62,-0.24
41.5,15,85,0.15,0.85,-0.7
42,21,79,0.21,0.79,-0.58
42.5,52,48,0.52,0.48,0.04
43,68,32,0.68,0.32,0.36
43.5,47,53,0.47,0.53,-0.06
44,88,12,0.88,0.12,0.76
44.5,92,8,0.92,0.08,0.84
45,79,21,0.79,0.21,0.58
45.5,80,20,0.8,0.2,0.6
46,89,11,0.89,0.11,0.78
46.5,79,21,0.79,0.21,0.58
47,76,24,0.76,0.24,0.52
47.5,29,71,0.29,0.71,-0.42
48,28,72,0.28,0.72,-0.44
48.5,64,36,0.64,0.36,0.28
49,66,34,0.66,0.34,0.32
49.5,13,87,0.13,0.87,-0.74
50,18,82,0.18,0.82,-0.64
50.5,41,59,0.41,0.59,-0.18
51,84,16,0.84,0.16,0.68
51.5,92,8,0.92,0.08,0.84
52,60,40,0.6,0.4,0.2
52.5,60,40,0.6,0.4,0.2
53,53,47,0.53,0.47,0.06
53.5,53,47,0.53,0.47,0.06
54,69,31,0.69,0.31,0.38
54.5,60,40,0.6,0.4,0.2
55,52,48,0.52,0.48,0.04
55.5,55,45,0.55,0.45,0.1
56,69,31,0.69,0.31,0.38
56.5,45,55,0.45,0.55,-0.1
57,59,41,0.59,0.41,0.18
57.5,27,73,0.27,0.73,-0.46
58,37,63,0.37,0.63,-0.26
58.5,26,74,0.26,0.74,-0.48
59,64,36,0.64,0.36,0.28
59.5,59,41,0.59,0.41,0.18
60,54,46,0.54,0.46,0.08
60.5,77,23,0.77,0.23,0.54
61,77,23,0.77,0.23,0.54
61.5,85,15,0.85,0.15,0.7
62,67,33,0.67,0.33,0.34
62.5,36,64,0.36,0.64,-0.28
63,56,44,0.56,0.44,0.12
63.5,80,20,0.8,0.2,0.6
64,71,29,0.71,0.29,0.42
64.5,47,53,0.47,0.53,-0.06
65,54,46,0.54,0.46,0.08
65.5,37,63,0.37,0.63,-0.26
66,29,71,0.29,0.71,-0.42
66.5,40,60,0.4,0.6,-0.2
67,73,27,0.73,0.27,0.46
67.5,79,21,0.79,0.21,0.58
68,66,34,0.66,0.34,0.32
68.5,63,37,0.63,0.37,0.26
69,56,44,0.56,0.44,0.12
69.5,70,30,0.7,0.3,0.4
70,49,51,0.49,0.51,-0.02
70.5,70,30,0.7,0.3,0.4
71,68,32,0.68,0.32,0.36
71.5,67,33,0.67,0.33,0.34
72,51,49,0.51,0.49,0.02
72.5,86,14,0.86,0.14,0.72
73,38,62,0.38,0.62,-0.24
73.5,40,60,0.4,0.6,-0.2
74,23,77,0.23,0.77,-0.54
74.5,22,78,0.22,0.78,-0.56
75,30,70,0.3,0.7,-0.4
75.5,19,81,0.19,0.81,-0.62
76,25,75,0.25,0.75,-0.5
76.5,28,72,0.28,0.72,-0.44
77,38,62,0.38,0.62,-0.24
77.5,41,59,0.41,0.59,-0.18
78,67,33,0.67,0.33,0.34
78.5,65,35,0.65,0.35,0.3
79,44,56,0.44,0.56,-0.12
79.5,65,35,0.65,0.35,0.3
80,51,49,0.51,0.49,0.02
80.5,55,45,0.55,0.45,0.1
81,39,61,0.39,0.61,-0.22
81.5,31,69,0.31,0.69,-0.38
82,29,71,0.29,0.71,-0.42
82.5,5,95,0.05,0.95,-0.9
83,41,59,0.41,0.59,-0.18
83.5,23,77,0.23,0.77,-0.54
84,25,75,0.25,0.75,-0.5
84.5,40,60,0.4,0.6,-0.2
85,48,52,0.48,0.52,-0.04
85.5,25,75,0.25,0.75,-0.5
86,22,78,0.22,0.78,-0.56
86.5,63,37,0.63,0.37,0.26
87,88,12,0.88,0.12,0.76
87.5,72,28,0.72,0.28,0.44
88,59,41,0.59,0.41,0.18
88.5,84,16,0.84,0.16,0.68
89,77,23,0.77,0.23,0.54
89.5,75,25,0.75,0.25,0.5
90,50,50,0.5,0.5,0
90.5,74,26,0.74,0.26,0.48
91,36,64,0.36,0.64,-0.28
91.5,38,62,0.38,0.62,-0.24
92,29,71,0.29,0.71,-0.42
92.5,47,53,0.47,0.53,-0.06
93,28,72,0.28,0.72,-0.44
93.5,38,62,0.38,0.62,-0.24
94,34,66,0.34,0.66,-0.32
94.5,42,58,0.42,0.58,-0.16
95,23,77,0.23,0.77,-0.54
95.5,65,35,0.65,0.35,0.3
96,42,58,0.42,0.58,-0.16
96.5,24,76,0.24,0.76,-0.52
97,27,73,0.27,0.73,-0.46
97.5,33,67,0.33,0.67,-0.34
98,39,61,0.39,0.61,-0.22
98.5,20,80,0.2,0.8,-0.6
99,38,62,0.38,0.62,-0.24
99.5,28,72,0.28,0.72,-0.44
