"lek_id","date_prev","date_now","mode_shift"
"TalChhapar_TC",2012-10-01,2014-02-01,25.1951966343833
"TalChhapar_TC",2014-02-01,2015-11-01,44.5317308270603
"TalChhapar_TC",2015-11-01,2015-12-01,33.3623490177249
"TalChhapar_TC",2015-12-01,2018-01-01,27.9414691444008
"TalChhapar_TC",2018-01-01,2018-11-01,65.168473150991
"TalChhapar_TC",2018-11-01,2019-10-01,9.26725939032622
"TalChhapar_TC",2019-10-01,2021-02-01,62.4772078953683
"TalChhapar_TC",2021-02-01,2022-03-01,70.2868588822894
"TalChhapar_TC",2022-03-01,2023-12-01,105.263281690762
"Velavadar_LEK1",2013-12-01,2014-02-01,23.4134671972796
"Velavadar_LEK1",2014-02-01,2014-10-01,10.3855663178661
"Velavadar_LEK1",2014-10-01,2015-05-01,22.2569487073633
"Velavadar_LEK1",2015-05-01,2015-11-01,23.030619427837
"Velavadar_LEK1",2015-11-01,2016-01-01,14.5352922827005
"Velavadar_LEK1",2016-01-01,2016-11-01,10.3855663178661
"Velavadar_LEK1",2016-11-01,2018-10-01,30.5528983460893
"Velavadar_LEK1",2018-10-01,2018-11-01,7.26764614135027
"Velavadar_LEK1",2018-11-01,2021-03-01,26.372966332034
"Velavadar_LEK1",2021-03-01,2021-12-01,29.6759316098178
"Velavadar_LEK1",2021-12-01,2022-12-01,55.5291554691812
"Velavadar_LEK1",2022-12-01,2024-05-01,135.309835900286
"Velavadar_LEK2",2014-02-01,2015-05-01,322.586500223971
"Velavadar_LEK2",2015-05-01,2015-11-01,644.721252998992
"Velavadar_LEK2",2015-11-01,2016-01-01,384.74815455635
"Velavadar_LEK2",2016-01-01,2016-11-01,429.560222323793
"Velavadar_LEK2",2016-11-01,2018-10-01,37.487889302368
"Velavadar_LEK2",2018-10-01,2018-11-01,34.5725505924069
"Velavadar_LEK2",2018-11-01,2021-03-01,22.8061531118737
"Velavadar_LEK2",2021-03-01,2021-12-01,22.8061531118737
"Velavadar_LEK2",2021-12-01,2022-12-01,34.5725505924069
"Velavadar_LEK2",2022-12-01,2024-05-01,17.2862752962034
