"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,1,99,0.01,0.99,-0.98
0.5,5,95,0.05,0.95,-0.9
1,9,91,0.09,0.91,-0.82
1.5,13,87,0.13,0.87,-0.74
2,18,82,0.18,0.82,-0.64
2.5,21,79,0.21,0.79,-0.58
3,23,77,0.23,0.77,-0.54
3.5,29,71,0.29,0.71,-0.42
4,33,67,0.33,0.67,-0.34
4.5,35,65,0.35,0.65,-0.3
5,34,66,0.34,0.66,-0.32
5.5,37,63,0.37,0.63,-0.26
6,37,63,0.37,0.63,-0.26
6.5,37,63,0.37,0.63,-0.26
7,40,60,0.4,0.6,-0.2
7.5,39,61,0.39,0.61,-0.22
8,39,61,0.39,0.61,-0.22
8.5,43,57,0.43,0.57,-0.14
9,44,56,0.44,0.56,-0.12
9.5,45,55,0.45,0.55,-0.1
10,44,56,0.44,0.56,-0.12
10.5,45,55,0.45,0.55,-0.1
11,47,53,0.47,0.53,-0.06
11.5,46,54,0.46,0.54,-0.08
12,46,54,0.46,0.54,-0.08
12.5,47,53,0.47,0.53,-0.06
13,47,53,0.47,0.53,-0.06
13.5,52,48,0.52,0.48,0.04
14,50,50,0.5,0.5,0
14.5,50,50,0.5,0.5,0
15,54,46,0.54,0.46,0.08
15.5,51,49,0.51,0.49,0.02
16,49,51,0.49,0.51,-0.02
16.5,51,49,0.51,0.49,0.02
17,52,48,0.52,0.48,0.04
17.5,51,49,0.51,0.49,0.02
18,50,50,0.5,0.5,0
18.5,46,54,0.46,0.54,-0.08
19,48,52,0.48,0.52,-0.04
19.5,51,49,0.51,0.49,0.02
20,52,48,0.52,0.48,0.04
20.5,53,47,0.53,0.47,0.06
21,53,47,0.53,0.47,0.06
21.5,50,50,0.5,0.5,0
22,49,51,0.49,0.51,-0.02
22.5,45,55,0.45,0.55,-0.1
23,46,54,0.46,0.54,-0.08
23.5,48,52,0.48,0.52,-0.04
24,49,51,0.49,0.51,-0.02
24.5,49,51,0.49,0.51,-0.02
25,50,50,0.5,0.5,0
25.5,53,47,0.53,0.47,0.06
26,55,45,0.55,0.45,0.1
26.5,54,46,0.54,0.46,0.08
27,58,42,0.58,0.42,0.16
27.5,55,45,0.55,0.45,0.1
28,58,42,0.58,0.42,0.16
28.5,59,41,0.59,0.41,0.18
29,58,42,0.58,0.42,0.16
29.5,57,43,0.57,0.43,0.14
30,53,47,0.53,0.47,0.06
30.5,53,47,0.53,0.47,0.06
31,50,50,0.5,0.5,0
31.5,53,47,0.53,0.47,0.06
32,51,49,0.51,0.49,0.02
32.5,50,50,0.5,0.5,0
33,48,52,0.48,0.52,-0.04
33.5,51,49,0.51,0.49,0.02
34,49,51,0.49,0.51,-0.02
34.5,49,51,0.49,0.51,-0.02
35,49,51,0.49,0.51,-0.02
35.5,50,50,0.5,0.5,0
36,53,47,0.53,0.47,0.06
36.5,51,49,0.51,0.49,0.02
37,53,47,0.53,0.47,0.06
37.5,56,44,0.56,0.44,0.12
38,56,44,0.56,0.44,0.12
38.5,57,43,0.57,0.43,0.14
39,59,41,0.59,0.41,0.18
39.5,60,40,0.6,0.4,0.2
40,59,41,0.59,0.41,0.18
40.5,56,44,0.56,0.44,0.12
41,55,45,0.55,0.45,0.1
41.5,54,46,0.54,0.46,0.08
42,54,46,0.54,0.46,0.08
42.5,53,47,0.53,0.47,0.06
43,52,48,0.52,0.48,0.04
43.5,55,45,0.55,0.45,0.1
44,56,44,0.56,0.44,0.12
44.5,52,48,0.52,0.48,0.04
45,53,47,0.53,0.47,0.06
45.5,51,49,0.51,0.49,0.02
46,52,48,0.52,0.48,0.04
46.5,54,46,0.54,0.46,0.08
47,54,46,0.54,0.46,0.08
47.5,53,47,0.53,0.47,0.06
48,54,46,0.54,0.46,0.08
48.5,51,49,0.51,0.49,0.02
49,52,48,0.52,0.48,0.04
49.5,49,51,0.49,0.51,-0.02
50,53,47,0.53,0.47,0.06
50.5,54,46,0.54,0.46,0.08
51,52,48,0.52,0.48,0.04
51.5,56,44,0.56,0.44,0.12
52,55,45,0.55,0.45,0.1
52.5,56,44,0.56,0.44,0.12
53,53,47,0.53,0.47,0.06
53.5,56,44,0.56,0.44,0.12
54,55,45,0.55,0.45,0.1
54.5,55,45,0.55,0.45,0.1
55,52,48,0.52,0.48,0.04
55.5,52,48,0.52,0.48,0.04
56,54,46,0.54,0.46,0.08
56.5,52,48,0.52,0.48,0.04
57,58,42,0.58,0.42,0.16
57.5,60,40,0.6,0.4,0.2
58,61,39,0.61,0.39,0.22
58.5,61,39,0.61,0.39,0.22
59,60,40,0.6,0.4,0.2
59.5,58,42,0.58,0.42,0.16
60,55,45,0.55,0.45,0.1
60.5,57,43,0.57,0.43,0.14
61,57,43,0.57,0.43,0.14
61.5,57,43,0.57,0.43,0.14
62,54,46,0.54,0.46,0.08
62.5,51,49,0.51,0.49,0.02
63,51,49,0.51,0.49,0.02
63.5,48,52,0.48,0.52,-0.04
64,48,52,0.48,0.52,-0.04
64.5,48,52,0.48,0.52,-0.04
65,50,50,0.5,0.5,0
65.5,49,51,0.49,0.51,-0.02
66,48,52,0.48,0.52,-0.04
66.5,47,53,0.47,0.53,-0.06
67,46,54,0.46,0.54,-0.08
67.5,47,53,0.47,0.53,-0.06
68,50,50,0.5,0.5,0
68.5,50,50,0.5,0.5,0
69,49,51,0.49,0.51,-0.02
69.5,53,47,0.53,0.47,0.06
70,52,48,0.52,0.48,0.04
70.5,55,45,0.55,0.45,0.1
71,54,46,0.54,0.46,0.08
71.5,53,47,0.53,0.47,0.06
72,56,44,0.56,0.44,0.12
72.5,52,48,0.52,0.48,0.04
73,53,47,0.53,0.47,0.06
73.5,55,45,0.55,0.45,0.1
74,54,46,0.54,0.46,0.08
74.5,53,47,0.53,0.47,0.06
75,50,50,0.5,0.5,0
75.5,52,48,0.52,0.48,0.04
76,54,46,0.54,0.46,0.08
76.5,53,47,0.53,0.47,0.06
77,54,46,0.54,0.46,0.08
77.5,57,43,0.57,0.43,0.14
78,56,44,0.56,0.44,0.12
78.5,52,48,0.52,0.48,0.04
79,54,46,0.54,0.46,0.08
79.5,54,46,0.54,0.46,0.08
80,52,48,0.52,0.48,0.04
80.5,52,48,0.52,0.48,0.04
81,49,51,0.49,0.51,-0.02
81.5,46,54,0.46,0.54,-0.08
82,49,51,0.49,0.51,-0.02
82.5,47,53,0.47,0.53,-0.06
83,46,54,0.46,0.54,-0.08
83.5,45,55,0.45,0.55,-0.1
84,43,57,0.43,0.57,-0.14
84.5,40,60,0.4,0.6,-0.2
85,41,59,0.41,0.59,-0.18
85.5,41,59,0.41,0.59,-0.18
86,42,58,0.42,0.58,-0.16
86.5,42,58,0.42,0.58,-0.16
87,43,57,0.43,0.57,-0.14
87.5,42,58,0.42,0.58,-0.16
88,41,59,0.41,0.59,-0.18
88.5,43,57,0.43,0.57,-0.14
89,44,56,0.44,0.56,-0.12
89.5,49,51,0.49,0.51,-0.02
90,50,50,0.5,0.5,0
90.5,49,51,0.49,0.51,-0.02
91,50,50,0.5,0.5,0
91.5,53,47,0.53,0.47,0.06
92,53,47,0.53,0.47,0.06
92.5,53,47,0.53,0.47,0.06
93,51,49,0.51,0.49,0.02
93.5,51,49,0.51,0.49,0.02
94,50,50,0.5,0.5,0
94.5,53,47,0.53,0.47,0.06
95,55,45,0.55,0.45,0.1
95.5,55,45,0.55,0.45,0.1
96,58,42,0.58,0.42,0.16
96.5,58,42,0.58,0.42,0.16
97,54,46,0.54,0.46,0.08
97.5,54,46,0.54,0.46,0.08
98,54,46,0.54,0.46,0.08
98.5,56,44,0.56,0.44,0.12
99,57,43,0.57,0.43,0.14
99.5,56,44,0.56,0.44,0.12
