"time","site1","site2","proportion_site1","proportion_site2","magnetization"
64,4,96,0.04,0.96,-0.92
64.5,5,95,0.05,0.95,-0.9
65,1,99,0.01,0.99,-0.98
65.5,6,94,0.06,0.94,-0.88
66,6,94,0.06,0.94,-0.88
66.5,1,99,0.01,0.99,-0.98
67,8,92,0.08,0.92,-0.84
67.5,4,96,0.04,0.96,-0.92
68,0,100,0,1,-1
68.5,3,97,0.03,0.97,-0.94
69,13,87,0.13,0.87,-0.74
69.5,28,72,0.28,0.72,-0.44
70,37,63,0.37,0.63,-0.26
70.5,4,96,0.04,0.96,-0.92
71,18,82,0.18,0.82,-0.64
71.5,30,70,0.3,0.7,-0.4
72,58,42,0.58,0.42,0.16
72.5,42,58,0.42,0.58,-0.16
73,60,40,0.6,0.4,0.2
73.5,40,60,0.4,0.6,-0.2
74,53,47,0.53,0.47,0.06
74.5,71,29,0.71,0.29,0.42
75,96,4,0.96,0.04,0.92
75.5,100,0,1,0,1
76,99,1,0.99,0.01,0.98
76.5,98,2,0.98,0.02,0.96
77,100,0,1,0,1
77.5,100,0,1,0,1
78,97,3,0.97,0.03,0.94
78.5,100,0,1,0,1
79,86,14,0.86,0.14,0.72
79.5,98,2,0.98,0.02,0.96
80,98,2,0.98,0.02,0.96
80.5,100,0,1,0,1
81,91,9,0.91,0.09,0.82
81.5,94,6,0.94,0.06,0.88
82,91,9,0.91,0.09,0.82
82.5,86,14,0.86,0.14,0.72
83,83,17,0.83,0.17,0.66
83.5,93,7,0.93,0.07,0.86
84,97,3,0.97,0.03,0.94
84.5,92,8,0.92,0.08,0.84
85,68,32,0.68,0.32,0.36
85.5,42,58,0.42,0.58,-0.16
86,38,62,0.38,0.62,-0.24
86.5,80,20,0.8,0.2,0.6
87,80,20,0.8,0.2,0.6
87.5,84,16,0.84,0.16,0.68
88,65,35,0.65,0.35,0.3
88.5,76,24,0.76,0.24,0.52
89,73,27,0.73,0.27,0.46
89.5,90,10,0.9,0.1,0.8
90,100,0,1,0,1
90.5,100,0,1,0,1
91,100,0,1,0,1
91.5,97,3,0.97,0.03,0.94
92,76,24,0.76,0.24,0.52
92.5,83,17,0.83,0.17,0.66
93,74,26,0.74,0.26,0.48
93.5,82,18,0.82,0.18,0.64
94,90,10,0.9,0.1,0.8
94.5,54,46,0.54,0.46,0.08
95,90,10,0.9,0.1,0.8
95.5,97,3,0.97,0.03,0.94
96,91,9,0.91,0.09,0.82
96.5,97,3,0.97,0.03,0.94
97,100,0,1,0,1
97.5,100,0,1,0,1
98,71,29,0.71,0.29,0.42
98.5,97,3,0.97,0.03,0.94
99,95,5,0.95,0.05,0.9
99.5,97,3,0.97,0.03,0.94
