"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,0,100,0,1,-1
0.5,0,100,0,1,-1
1,4,96,0.04,0.96,-0.92
1.5,24,76,0.24,0.76,-0.52
2,27,73,0.27,0.73,-0.46
2.5,29,71,0.29,0.71,-0.42
3,19,81,0.19,0.81,-0.62
3.5,0,100,0,1,-1
4,0,100,0,1,-1
4.5,2,98,0.02,0.98,-0.96
5,5,95,0.05,0.95,-0.9
5.5,18,82,0.18,0.82,-0.64
6,14,86,0.14,0.86,-0.72
6.5,10,90,0.1,0.9,-0.8
7,10,90,0.1,0.9,-0.8
7.5,21,79,0.21,0.79,-0.58
8,14,86,0.14,0.86,-0.72
8.5,26,74,0.26,0.74,-0.48
9,14,86,0.14,0.86,-0.72
9.5,11,89,0.11,0.89,-0.78
10,49,51,0.49,0.51,-0.02
10.5,48,52,0.48,0.52,-0.04
11,53,47,0.53,0.47,0.06
11.5,58,42,0.58,0.42,0.16
12,96,4,0.96,0.04,0.92
12.5,98,2,0.98,0.02,0.96
13,83,17,0.83,0.17,0.66
13.5,79,21,0.79,0.21,0.58
14,98,2,0.98,0.02,0.96
14.5,99,1,0.99,0.01,0.98
15,96,4,0.96,0.04,0.92
15.5,100,0,1,0,1
16,100,0,1,0,1
16.5,100,0,1,0,1
17,99,1,0.99,0.01,0.98
17.5,100,0,1,0,1
18,94,6,0.94,0.06,0.88
18.5,89,11,0.89,0.11,0.78
19,99,1,0.99,0.01,0.98
19.5,83,17,0.83,0.17,0.66
20,83,17,0.83,0.17,0.66
20.5,74,26,0.74,0.26,0.48
21,62,38,0.62,0.38,0.24
21.5,81,19,0.81,0.19,0.62
22,71,29,0.71,0.29,0.42
22.5,88,12,0.88,0.12,0.76
23,89,11,0.89,0.11,0.78
23.5,100,0,1,0,1
24,100,0,1,0,1
24.5,88,12,0.88,0.12,0.76
25,86,14,0.86,0.14,0.72
25.5,73,27,0.73,0.27,0.46
26,78,22,0.78,0.22,0.56
26.5,64,36,0.64,0.36,0.28
27,52,48,0.52,0.48,0.04
27.5,50,50,0.5,0.5,0
28,40,60,0.4,0.6,-0.2
28.5,11,89,0.11,0.89,-0.78
29,38,62,0.38,0.62,-0.24
29.5,62,38,0.62,0.38,0.24
30,50,50,0.5,0.5,0
30.5,32,68,0.32,0.68,-0.36
31,42,58,0.42,0.58,-0.16
31.5,44,56,0.44,0.56,-0.12
32,54,46,0.54,0.46,0.08
32.5,64,36,0.64,0.36,0.28
33,53,47,0.53,0.47,0.06
33.5,36,64,0.36,0.64,-0.28
34,11,89,0.11,0.89,-0.78
34.5,8,92,0.08,0.92,-0.84
35,1,99,0.01,0.99,-0.98
35.5,0,100,0,1,-1
36,9,91,0.09,0.91,-0.82
36.5,7,93,0.07,0.93,-0.86
37,34,66,0.34,0.66,-0.32
37.5,17,83,0.17,0.83,-0.66
38,3,97,0.03,0.97,-0.94
38.5,0,100,0,1,-1
39,0,100,0,1,-1
39.5,16,84,0.16,0.84,-0.68
40,7,93,0.07,0.93,-0.86
40.5,3,97,0.03,0.97,-0.94
41,14,86,0.14,0.86,-0.72
41.5,13,87,0.13,0.87,-0.74
42,31,69,0.31,0.69,-0.38
42.5,16,84,0.16,0.84,-0.68
43,27,73,0.27,0.73,-0.46
43.5,9,91,0.09,0.91,-0.82
44,0,100,0,1,-1
44.5,12,88,0.12,0.88,-0.76
45,43,57,0.43,0.57,-0.14
45.5,61,39,0.61,0.39,0.22
46,62,38,0.62,0.38,0.24
46.5,58,42,0.58,0.42,0.16
47,41,59,0.41,0.59,-0.18
47.5,75,25,0.75,0.25,0.5
48,79,21,0.79,0.21,0.58
48.5,74,26,0.74,0.26,0.48
49,98,2,0.98,0.02,0.96
49.5,99,1,0.99,0.01,0.98
50,99,1,0.99,0.01,0.98
50.5,92,8,0.92,0.08,0.84
51,67,33,0.67,0.33,0.34
51.5,74,26,0.74,0.26,0.48
52,85,15,0.85,0.15,0.7
52.5,47,53,0.47,0.53,-0.06
53,43,57,0.43,0.57,-0.14
53.5,24,76,0.24,0.76,-0.52
54,55,45,0.55,0.45,0.1
54.5,19,81,0.19,0.81,-0.62
55,49,51,0.49,0.51,-0.02
55.5,45,55,0.45,0.55,-0.1
56,38,62,0.38,0.62,-0.24
56.5,48,52,0.48,0.52,-0.04
57,36,64,0.36,0.64,-0.28
57.5,22,78,0.22,0.78,-0.56
58,25,75,0.25,0.75,-0.5
58.5,39,61,0.39,0.61,-0.22
59,15,85,0.15,0.85,-0.7
59.5,9,91,0.09,0.91,-0.82
60,2,98,0.02,0.98,-0.96
60.5,0,100,0,1,-1
61,10,90,0.1,0.9,-0.8
61.5,39,61,0.39,0.61,-0.22
62,33,67,0.33,0.67,-0.34
62.5,4,96,0.04,0.96,-0.92
63,2,98,0.02,0.98,-0.96
63.5,4,96,0.04,0.96,-0.92
