"time","site1","site2","proportion_site1","proportion_site2","magnetization"
57.5,0,100,0,1,-1
58,0,100,0,1,-1
58.5,0,100,0,1,-1
59,0,100,0,1,-1
59.5,1,99,0.01,0.99,-0.98
60,7,93,0.07,0.93,-0.86
60.5,32,68,0.32,0.68,-0.36
61,0,100,0,1,-1
61.5,0,100,0,1,-1
62,2,98,0.02,0.98,-0.96
62.5,1,99,0.01,0.99,-0.98
63,0,100,0,1,-1
63.5,0,100,0,1,-1
64,25,75,0.25,0.75,-0.5
64.5,0,100,0,1,-1
65,0,100,0,1,-1
65.5,2,98,0.02,0.98,-0.96
66,34,66,0.34,0.66,-0.32
66.5,55,45,0.55,0.45,0.1
67,77,23,0.77,0.23,0.54
67.5,65,35,0.65,0.35,0.3
68,0,100,0,1,-1
68.5,0,100,0,1,-1
69,0,100,0,1,-1
69.5,0,100,0,1,-1
70,0,100,0,1,-1
70.5,0,100,0,1,-1
71,0,100,0,1,-1
71.5,2,98,0.02,0.98,-0.96
72,1,99,0.01,0.99,-0.98
72.5,0,100,0,1,-1
73,0,100,0,1,-1
73.5,1,99,0.01,0.99,-0.98
74,0,100,0,1,-1
74.5,0,100,0,1,-1
75,0,100,0,1,-1
75.5,0,100,0,1,-1
76,1,99,0.01,0.99,-0.98
76.5,0,100,0,1,-1
77,12,88,0.12,0.88,-0.76
77.5,0,100,0,1,-1
78,0,100,0,1,-1
78.5,0,100,0,1,-1
79,4,96,0.04,0.96,-0.92
79.5,0,100,0,1,-1
80,0,100,0,1,-1
80.5,0,100,0,1,-1
81,0,100,0,1,-1
81.5,0,100,0,1,-1
82,0,100,0,1,-1
82.5,0,100,0,1,-1
83,0,100,0,1,-1
83.5,19,81,0.19,0.81,-0.62
84,0,100,0,1,-1
84.5,5,95,0.05,0.95,-0.9
85,0,100,0,1,-1
85.5,2,98,0.02,0.98,-0.96
86,17,83,0.17,0.83,-0.66
86.5,0,100,0,1,-1
87,0,100,0,1,-1
87.5,0,100,0,1,-1
88,23,77,0.23,0.77,-0.54
88.5,0,100,0,1,-1
89,0,100,0,1,-1
89.5,0,100,0,1,-1
90,0,100,0,1,-1
90.5,0,100,0,1,-1
91,0,100,0,1,-1
91.5,0,100,0,1,-1
92,1,99,0.01,0.99,-0.98
92.5,0,100,0,1,-1
93,0,100,0,1,-1
93.5,0,100,0,1,-1
94,0,100,0,1,-1
94.5,0,100,0,1,-1
95,0,100,0,1,-1
95.5,0,100,0,1,-1
96,0,100,0,1,-1
96.5,0,100,0,1,-1
97,0,100,0,1,-1
97.5,0,100,0,1,-1
98,0,100,0,1,-1
98.5,14,86,0.14,0.86,-0.72
99,0,100,0,1,-1
99.5,0,100,0,1,-1
