"time","site1","site2","proportion_site1","proportion_site2","magnetization"
43.5,44,56,0.44,0.56,-0.12
44,44,56,0.44,0.56,-0.12
44.5,43,57,0.43,0.57,-0.14
45,44,56,0.44,0.56,-0.12
45.5,44,56,0.44,0.56,-0.12
46,44,56,0.44,0.56,-0.12
46.5,45,55,0.45,0.55,-0.1
47,44,56,0.44,0.56,-0.12
47.5,45,55,0.45,0.55,-0.1
48,45,55,0.45,0.55,-0.1
48.5,43,57,0.43,0.57,-0.14
49,43,57,0.43,0.57,-0.14
49.5,43,57,0.43,0.57,-0.14
50,44,56,0.44,0.56,-0.12
50.5,44,56,0.44,0.56,-0.12
51,45,55,0.45,0.55,-0.1
51.5,45,55,0.45,0.55,-0.1
52,45,55,0.45,0.55,-0.1
52.5,45,55,0.45,0.55,-0.1
53,46,54,0.46,0.54,-0.08
53.5,46,54,0.46,0.54,-0.08
54,47,53,0.47,0.53,-0.06
54.5,47,53,0.47,0.53,-0.06
55,47,53,0.47,0.53,-0.06
55.5,47,53,0.47,0.53,-0.06
56,47,53,0.47,0.53,-0.06
56.5,46,54,0.46,0.54,-0.08
57,46,54,0.46,0.54,-0.08
57.5,46,54,0.46,0.54,-0.08
58,46,54,0.46,0.54,-0.08
58.5,47,53,0.47,0.53,-0.06
59,48,52,0.48,0.52,-0.04
59.5,46,54,0.46,0.54,-0.08
60,46,54,0.46,0.54,-0.08
60.5,46,54,0.46,0.54,-0.08
61,46,54,0.46,0.54,-0.08
61.5,46,54,0.46,0.54,-0.08
62,46,54,0.46,0.54,-0.08
62.5,47,53,0.47,0.53,-0.06
63,46,54,0.46,0.54,-0.08
63.5,45,55,0.45,0.55,-0.1
64,46,54,0.46,0.54,-0.08
64.5,46,54,0.46,0.54,-0.08
65,47,53,0.47,0.53,-0.06
65.5,47,53,0.47,0.53,-0.06
66,49,51,0.49,0.51,-0.02
66.5,51,49,0.51,0.49,0.02
67,52,48,0.52,0.48,0.04
67.5,52,48,0.52,0.48,0.04
68,51,49,0.51,0.49,0.02
68.5,51,49,0.51,0.49,0.02
69,51,49,0.51,0.49,0.02
69.5,50,50,0.5,0.5,0
70,50,50,0.5,0.5,0
70.5,51,49,0.51,0.49,0.02
71,49,51,0.49,0.51,-0.02
71.5,50,50,0.5,0.5,0
72,50,50,0.5,0.5,0
72.5,50,50,0.5,0.5,0
73,51,49,0.51,0.49,0.02
73.5,53,47,0.53,0.47,0.06
74,52,48,0.52,0.48,0.04
74.5,54,46,0.54,0.46,0.08
75,54,46,0.54,0.46,0.08
75.5,54,46,0.54,0.46,0.08
76,53,47,0.53,0.47,0.06
76.5,52,48,0.52,0.48,0.04
77,50,50,0.5,0.5,0
77.5,51,49,0.51,0.49,0.02
78,52,48,0.52,0.48,0.04
78.5,51,49,0.51,0.49,0.02
79,49,51,0.49,0.51,-0.02
79.5,49,51,0.49,0.51,-0.02
80,49,51,0.49,0.51,-0.02
80.5,49,51,0.49,0.51,-0.02
81,49,51,0.49,0.51,-0.02
81.5,50,50,0.5,0.5,0
82,51,49,0.51,0.49,0.02
82.5,51,49,0.51,0.49,0.02
83,51,49,0.51,0.49,0.02
83.5,53,47,0.53,0.47,0.06
84,53,47,0.53,0.47,0.06
84.5,53,47,0.53,0.47,0.06
85,52,48,0.52,0.48,0.04
85.5,53,47,0.53,0.47,0.06
86,53,47,0.53,0.47,0.06
86.5,52,48,0.52,0.48,0.04
87,52,48,0.52,0.48,0.04
87.5,51,49,0.51,0.49,0.02
88,51,49,0.51,0.49,0.02
88.5,52,48,0.52,0.48,0.04
89,52,48,0.52,0.48,0.04
89.5,51,49,0.51,0.49,0.02
90,50,50,0.5,0.5,0
90.5,49,51,0.49,0.51,-0.02
91,48,52,0.48,0.52,-0.04
91.5,46,54,0.46,0.54,-0.08
92,46,54,0.46,0.54,-0.08
92.5,46,54,0.46,0.54,-0.08
93,47,53,0.47,0.53,-0.06
93.5,47,53,0.47,0.53,-0.06
94,47,53,0.47,0.53,-0.06
94.5,48,52,0.48,0.52,-0.04
95,48,52,0.48,0.52,-0.04
95.5,48,52,0.48,0.52,-0.04
96,48,52,0.48,0.52,-0.04
96.5,49,51,0.49,0.51,-0.02
97,50,50,0.5,0.5,0
97.5,51,49,0.51,0.49,0.02
98,52,48,0.52,0.48,0.04
98.5,50,50,0.5,0.5,0
99,50,50,0.5,0.5,0
99.5,51,49,0.51,0.49,0.02
