"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,1,99,0.01,0.99,-0.98
0.5,2,98,0.02,0.98,-0.96
1,2,98,0.02,0.98,-0.96
1.5,3,97,0.03,0.97,-0.94
2,4,96,0.04,0.96,-0.92
2.5,5,95,0.05,0.95,-0.9
3,5,95,0.05,0.95,-0.9
3.5,6,94,0.06,0.94,-0.88
4,7,93,0.07,0.93,-0.86
4.5,8,92,0.08,0.92,-0.84
5,9,91,0.09,0.91,-0.82
5.5,9,91,0.09,0.91,-0.82
6,10,90,0.1,0.9,-0.8
6.5,11,89,0.11,0.89,-0.78
7,11,89,0.11,0.89,-0.78
7.5,13,87,0.13,0.87,-0.74
8,14,86,0.14,0.86,-0.72
8.5,15,85,0.15,0.85,-0.7
9,15,85,0.15,0.85,-0.7
9.5,18,82,0.18,0.82,-0.64
10,18,82,0.18,0.82,-0.64
10.5,18,82,0.18,0.82,-0.64
11,18,82,0.18,0.82,-0.64
11.5,19,81,0.19,0.81,-0.62
12,20,80,0.2,0.8,-0.6
12.5,21,79,0.21,0.79,-0.58
13,22,78,0.22,0.78,-0.56
13.5,22,78,0.22,0.78,-0.56
14,23,77,0.23,0.77,-0.54
14.5,23,77,0.23,0.77,-0.54
15,23,77,0.23,0.77,-0.54
15.5,25,75,0.25,0.75,-0.5
16,27,73,0.27,0.73,-0.46
16.5,28,72,0.28,0.72,-0.44
17,29,71,0.29,0.71,-0.42
17.5,29,71,0.29,0.71,-0.42
18,30,70,0.3,0.7,-0.4
18.5,31,69,0.31,0.69,-0.38
19,31,69,0.31,0.69,-0.38
19.5,32,68,0.32,0.68,-0.36
20,33,67,0.33,0.67,-0.34
20.5,32,68,0.32,0.68,-0.36
21,33,67,0.33,0.67,-0.34
21.5,34,66,0.34,0.66,-0.32
22,35,65,0.35,0.65,-0.3
22.5,35,65,0.35,0.65,-0.3
23,35,65,0.35,0.65,-0.3
23.5,35,65,0.35,0.65,-0.3
24,34,66,0.34,0.66,-0.32
24.5,34,66,0.34,0.66,-0.32
25,34,66,0.34,0.66,-0.32
25.5,32,68,0.32,0.68,-0.36
26,34,66,0.34,0.66,-0.32
26.5,36,64,0.36,0.64,-0.28
27,37,63,0.37,0.63,-0.26
27.5,37,63,0.37,0.63,-0.26
28,37,63,0.37,0.63,-0.26
28.5,38,62,0.38,0.62,-0.24
29,38,62,0.38,0.62,-0.24
29.5,38,62,0.38,0.62,-0.24
30,37,63,0.37,0.63,-0.26
30.5,39,61,0.39,0.61,-0.22
31,39,61,0.39,0.61,-0.22
31.5,38,62,0.38,0.62,-0.24
32,37,63,0.37,0.63,-0.26
32.5,37,63,0.37,0.63,-0.26
33,38,62,0.38,0.62,-0.24
33.5,40,60,0.4,0.6,-0.2
34,40,60,0.4,0.6,-0.2
34.5,40,60,0.4,0.6,-0.2
35,40,60,0.4,0.6,-0.2
35.5,38,62,0.38,0.62,-0.24
36,38,62,0.38,0.62,-0.24
36.5,40,60,0.4,0.6,-0.2
37,39,61,0.39,0.61,-0.22
37.5,39,61,0.39,0.61,-0.22
38,40,60,0.4,0.6,-0.2
38.5,40,60,0.4,0.6,-0.2
39,39,61,0.39,0.61,-0.22
39.5,39,61,0.39,0.61,-0.22
40,39,61,0.39,0.61,-0.22
40.5,42,58,0.42,0.58,-0.16
41,43,57,0.43,0.57,-0.14
41.5,43,57,0.43,0.57,-0.14
42,42,58,0.42,0.58,-0.16
42.5,43,57,0.43,0.57,-0.14
43,42,58,0.42,0.58,-0.16
