"r","g","lek_id","data_label","date","n_points","r_max_used","ref_median_nn"
5.2244985980317,0.0485937785870107,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
5.49947220845442,0.0573698112886494,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
5.77444581887714,0.0678088161882144,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
6.04941942929986,0.0781644555333045,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
6.32439303972258,0.0883782037700481,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
6.5993666501453,0.0991714228810666,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
6.87434026056802,0.110476757111749,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
7.14931387099074,0.124496679901703,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
7.42428748141347,0.140473987749958,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
7.69926109183619,0.156208279425667,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
7.97423470225891,0.175557241999681,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
8.24920831268163,0.199079715073003,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
8.52418192310435,0.222793863165909,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
8.79915553352707,0.247108206658168,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
9.07412914394979,0.27207485110567,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
9.34910275437251,0.297580450813298,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
9.62407636479523,0.322821239330479,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
9.89904997521795,0.34855461923021,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
10.1740235856407,0.37440785656133,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
10.4489971960634,0.399712814161319,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
10.7239708064861,0.424872815499382,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
10.9989444169088,0.451893826313781,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
11.2739180273316,0.480542437271847,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
11.5488916377543,0.50993838449221,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
11.823865248177,0.539458226537009,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
12.0988388585997,0.56943266643007,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
12.3738124690224,0.598763445904344,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
12.6487860794452,0.629128040086914,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
12.9237596898679,0.662113442794035,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
13.1987333002906,0.693738379050741,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
13.4737069107133,0.724401468744908,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
13.748680521136,0.754482317121484,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
14.0236541315588,0.784495956306015,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
14.2986277419815,0.814427813820233,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
14.5736013524042,0.84397942082171,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
14.8485749628269,0.873949913386785,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
15.1235485732497,0.901281199267436,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
15.3985221836724,0.92546383430997,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
15.6734957940951,0.949340301404779,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
15.9484694045178,0.971795269598085,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
16.2234430149405,0.99182317644859,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
16.4984166253633,1.01102663718481,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
16.773390235786,1.02861500394396,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
17.0483638462087,1.04485501554257,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
17.3233374566314,1.06143488840014,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
17.5983110670541,1.07769602539412,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
17.8732846774769,1.09265125162082,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
18.1482582878996,1.10788117861543,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
18.4232318983223,1.12268426306345,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
18.698205508745,1.13679869164921,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
18.9731791191677,1.14911421669798,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
19.2481527295905,1.1588339709602,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
19.5231263400132,1.16828694489521,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
19.7980999504359,1.17830915070798,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
20.0730735608586,1.18884719950725,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
20.3480471712814,1.20038962262571,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
20.6230207817041,1.21073354357442,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
20.8979943921268,1.22040686922681,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
21.1729680025495,1.22932109571271,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
21.4479416129722,1.23574037073046,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
21.722915223395,1.23960373526898,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
21.9978888338177,1.2419628696322,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
22.2728624442404,1.24238278029791,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
22.5478360546631,1.24235360406273,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
22.8228096650858,1.24444338283436,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
23.0977832755086,1.24717837049747,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
23.3727568859313,1.24824513991082,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
23.647730496354,1.24756714139203,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
23.9227041067767,1.24544703333488,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
24.1976777171994,1.24202827721036,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
24.4726513276222,1.23854505275113,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
24.7476249380449,1.23382381143264,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
25.0225985484676,1.22858711807168,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
25.2975721588903,1.2219432511909,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
25.572545769313,1.21387021006399,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
25.8475193797358,1.20523104211659,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
26.1224929901585,1.19610693452978,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
26.3974666005812,1.18620338216726,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
26.6724402110039,1.1775228258555,"TalChhapar_TC","12OCT",2012-10-01,162,65.7186928910303,16.4296732227576
