1,74.436945495,27.800020587,287.9558,
2,74.436765941,27.800037695,288.3593,
3,74.436602419,27.799934338,288.8230,
4,74.436793997,27.799809597,288.5657,
5,74.437162600,27.799770913,287.6457,
6,74.437009932,27.799881326,287.9007,
7,74.437227025,27.799940700,287.2909,
8,74.437375789,27.799959796,286.8354,
9,74.437449585,27.799877507,286.7089,
10,74.437333619,27.799722303,287.2199,
11,74.436848659,27.800174399,287.9938,
12,74.436631304,27.800135124,288.4574,
13,74.436388783,27.799853888,289.2228,
14,74.436544472,27.799824216,289.0199,
15,74.436588203,27.799718316,289.0502,
16,74.436666684,27.799691234,288.8902,
17,74.436998181,27.799702692,288.1433,
18,74.436871713,27.799607710,288.4984,
19,74.436992142,27.799518376,288.2399,
20,74.437166949,27.799586401,287.7873,
21,74.437161726,27.799662076,287.7759,
22,74.436667063,27.799536762,288.9845,
23,74.436591180,27.799587576,289.0783,
24,74.436454468,27.799548783,289.3794,
25,74.437393282,27.799586822,287.1305,
26,74.437589795,27.799583733,286.5124,
27,74.437660262,27.799368385,286.3137,
28,74.437475659,27.799374563,286.9286,
29,74.437318349,27.799397510,287.4635,
30,74.437046407,27.799318960,288.1732,
31,74.437007700,27.799321608,288.2373,
32,74.437178408,27.799304398,287.7989,
33,74.436873713,27.799414278,288.5356,
34,74.437096031,27.799408983,288.0149,
35,74.436733228,27.799427734,288.8924,
36,74.436731276,27.799342667,288.9467,
37,74.437431149,27.799260122,287.0797,
38,74.437229255,27.799168147,287.6790,
39,74.437232958,27.799201783,287.6757,
40,74.437492669,27.799131178,286.8616,
41,74.437049719,27.799145872,288.1401,
42,74.436865526,27.799186731,288.5751,
43,74.436866735,27.799216121,288.6083,
44,74.436659884,27.799182517,289.0168,
45,74.436607634,27.799182517,289.1569,
46,74.436648375,27.799225031,289.0850,
47,74.436408750,27.799140735,289.4377,
48,74.436298103,27.799353918,289.6674,
49,74.436511200,27.799376694,289.3250,
50,74.436349946,27.799016505,289.4306,
51,74.436522451,27.799011129,289.1684,
52,74.436720348,27.799031200,288.8131,
53,74.436933964,27.799017580,288.3632,
54,74.437080043,27.798984592,287.9587,
55,74.437305610,27.798937330,287.2917,
56,74.437358633,27.799061948,287.2280,
57,74.437195877,27.799032967,287.6708,
58,74.436018087,27.799286168,289.9949,
59,74.436026796,27.799066607,289.8503,
60,74.436155371,27.798991902,289.6754,
61,74.436197154,27.799169849,289.7771,
62,74.436085343,27.799492525,289.9151,
63,74.436259822,27.799784310,289.5414,
64,74.436092505,27.799638997,289.8209,
65,74.436351530,27.799674282,289.4934,
66,74.436294972,27.799506979,289.6292,
67,74.436160756,27.799430279,289.7984,
68,74.436386451,27.799427068,289.5148,
69,74.436829524,27.798897977,288.4786,
70,74.436474056,27.798877135,289.1443,
71,74.436308692,27.798831978,289.3949,
72,74.436969554,27.798852032,288.1467,
73,74.437128864,27.798804203,287.6317,
74,74.436842003,27.798759562,288.3065,
75,74.436766702,27.798641582,288.3100,
76,74.436592537,27.798652059,288.6938,
77,74.436679107,27.798842922,288.7520,
78,74.437098641,27.798712188,287.6288,
79,74.436000859,27.798849006,289.7274,
80,74.435848720,27.798670442,289.6536,
81,74.436143777,27.798608492,289.2853,
82,74.436398362,27.798667573,289.0281,
83,74.436340505,27.798489436,288.8622,
84,74.436909835,27.798567682,287.9021,
85,74.436913865,27.798427185,287.6435,
86,74.436629313,27.798385968,288.1701,
87,74.437100386,27.798616769,287.4695,
88,74.437436935,27.798776656,286.7425,
89,74.437284351,27.798694173,287.1013,
90,74.436524694,27.799998390,288.8948,
91,74.437496361,27.799752009,286.6732,
92,74.437719640,27.799779740,285.8892,
93,74.437206775,27.800078664,287.1472,
94,74.436999184,27.800167387,287.5943,
95,74.436846001,27.798222695,287.3537,
96,74.435962460,27.798467054,289.1832,
97,74.436199878,27.798309583,288.6232,
98,74.436407750,27.798252044,288.2105,
99,74.436632555,27.798103480,287.4820,
100,74.436179526,27.799885412,289.5303,
101,74.436382899,27.800111040,288.9372,
102,74.436583143,27.800308412,288.2545,
103,74.437841332,27.799405654,285.6181,
104,74.437615483,27.799130495,286.4237,
105,74.437565009,27.799000654,286.5267,
106,74.437508969,27.798882097,286.6440,
107,74.437921766,27.799166252,285.3094,
108,74.437735896,27.798983170,285.8870,
109,74.437723260,27.798939754,285.9297,
110,74.436001272,27.799760780,289.8516,
111,74.435920945,27.799319206,290.0495,
112,74.435790156,27.799534656,290.1330,
113,74.435760739,27.799289528,290.1465,
114,74.437103508,27.798422204,287.1916,
115,74.437320511,27.798414637,286.5837,
116,74.437334978,27.798205018,286.0633,
117,74.437662611,27.798323070,285.2717,
118,74.436377695,27.797984479,287.6194,
119,74.436458581,27.797640422,286.3968,
120,74.436903188,27.797661192,285.6250,
121,74.437047498,27.797845152,285.8494,
122,74.436807260,27.797957903,286.7688,
123,74.436641467,27.797823660,286.7017,
124,74.436136876,27.797858978,287.5437,
125,74.435879136,27.798137139,288.5620,
126,74.435858544,27.797827965,287.6688,
127,74.436033940,27.797597634,286.7612,
128,74.437093548,27.798071162,286.4595,
129,74.437625062,27.798650178,285.9545,
130,74.437927599,27.798755959,284.9617,
131,74.437894817,27.798604368,284.8996,
132,74.437761701,27.798544988,285.3209,
133,74.437953570,27.799576615,285.1404,
