,longitude,latitude,pos_x,pos_y
0,74.4361174584667,27.7996401541828,444454.9260947889,3075135.284087338
1,74.4358040815912,27.7995479164307,444424.0095098956,3075125.2081882153
2,74.4357897691079,27.7993011277485,444422.4740801365,3075097.87665837
3,74.4360601949988,27.7994991629602,444449.2135745973,3075119.691684408
4,74.4360505291115,27.799287280387,444448.153673464,3075096.2247737176
5,74.4361897763224,27.7994398352964,444461.94803134655,3075113.0610757023
6,74.436264449079,27.7995998655355,444469.3851450578,3075130.7546606874
7,74.4363317883055,27.7993527744931,444475.89290958975,3075103.352725157
8,74.4360467478654,27.7990525083278,444447.6618080125,3075070.21962113
9,74.4362342158841,27.7991649391858,444466.18587986456,3075082.589383472
10,74.4363653477184,27.799038074134,444479.03879644204,3075068.4766427334
11,74.4364312966929,27.799162682516,444485.5985574402,3075082.250325242
12,74.4360320289141,27.7988463568581,444446.10705317336,3075047.389859682
13,74.4358733346037,27.7986614812249,444430.3804774599,3075026.9820458447
14,74.4364572893179,27.7995526762501,444488.3571885521,3075125.4401143035
15,74.4363753677903,27.7996821341176,444480.35317441175,3075139.8178246166
16,74.4364094542142,27.7998866775222,444483.8148574745,3075162.4607058764
17,74.4365950528547,27.799723835448,444502.01475751406,3075144.338020691
18,74.4366337700713,27.7999564615758,444505.9468269926,3075170.0896780035
19,74.4367633964315,27.7998189706497,444518.6459980162,3075154.8005763465
20,74.4366823354769,27.7995419466852,444510.52026420354,3075124.149873741
21,74.4365227111487,27.7994109909075,444494.729678774,3075109.7153668604
22,74.4366664585323,27.7993665208396,444508.86716983246,3075104.724257034
23,74.4366877430558,27.7991868305597,444510.8725657918,3075084.80946243
24,74.4363277151861,27.7988336658767,444475.22783347365,3075045.850338711
25,74.4364507725909,27.7986635390273,444487.2634264836,3075026.9489348605
26,74.4361743269097,27.7986178355963,444460.0082520049,3075022.011089891
27,74.4359922634954,27.798482335002,444442.00474435184,3075007.083343558
28,74.4363753920862,27.7985010959403,444479.75533451914,3075008.9883774538
29,74.4362297888448,27.7982950612442,444465.3075831638,3074986.2307094065
30,74.4358371208145,27.7982919836145,444426.6251883891,3074986.0673521818
31,74.4359114537717,27.7981304279372,444433.8653864094,3074968.137409439
32,74.4358925846484,27.7978146886726,444431.8460313183,3074933.169949214
33,74.4361971256555,27.7981057207154,444461.9937519933,3074965.27129132
34,74.4361748216959,27.797844278777,444459.6637224944,3074936.320162916
35,74.4360762973202,27.7975666666667,444449.8171139099,3074905.6122481716
36,74.4364204965039,27.7979776523542,444483.93246064824,3074950.9835682185
37,74.4365045875336,27.7976199282559,444492.03434443707,3074911.318712366
38,74.4364487285041,27.7982420062755,444486.84786777996,3074980.2545968047
39,74.4366829829504,27.7980946368246,444509.84889361914,3074963.8239257894
40,74.4366676603686,27.7983893395241,444508.489191864,3074996.476516521
41,74.4366315011505,27.7986519719865,444505.06064652087,3075025.585942935
42,74.4368162934263,27.7986388161837,444523.2573692973,3075024.0451471405
43,74.4369531848662,27.7985630209259,444536.703707335,3075015.5871226345
44,74.4369564093341,27.7984210045766,444536.94924106373,3074999.853816199
45,74.43689722039,27.7982087303175,444531.01090042555,3074976.3658744697
46,74.4365203626829,27.7988772493498,444494.2271476293,3075050.591237988
47,74.4366307639859,27.7990269748784,444505.17852827144,3075067.127197184
48,74.4367098643509,27.7988403595666,444512.87568575004,3075046.4191679717
49,74.4367744908414,27.7990233554638,444519.3347979783,3075066.6613385417
50,74.4368615412951,27.7988902618741,444527.84229831805,3075051.878594089
51,74.4368651443032,27.798754598425,444528.1283334089,3075036.8488576855
52,74.4371422888836,27.7980568778771,444555.07498600124,3074959.433805204
53,74.4374330485655,27.7981277519285,444583.75306708826,3074967.1536820303
54,74.437131967113,27.7983351753275,444554.1994535408,3074990.266841442
55,74.4373683531309,27.7982887394796,444577.4617302964,3074985.016249399
56,74.4371981397699,27.7985439705859,444560.8239252124,3075013.366256484
57,74.437150582324,27.7986181068701,444556.17678668175,3075021.60016028
58,74.4370196316595,27.7988832372381,444543.4117661604,3075051.0290650195
59,74.4371903283266,27.798797538161,444560.18312088714,3075041.4587112404
60,74.4373579483917,27.7986907470403,444576.64073334076,3075029.5532997004
61,74.4373894744565,27.798492559678,444579.64574132493,3075007.5848872443
62,74.4376241046256,27.7982815136338,444602.6515585896,3074984.1004544906
63,74.4375263865312,27.7987028256658,444593.2392527129,3075030.815329272
64,74.4376655658289,27.7986204319824,444606.9076555284,3075021.625411453
65,74.4376349072033,27.7984318547079,444603.7919302398,3075000.7496033604
66,74.4379306674807,27.798199268763,444632.80868022965,3074974.8515852336
67,74.4379537377921,27.7986069479814,444635.28789316886,3075020.001818591
68,74.4378571655611,27.7984252866842,444625.68273225054,3074999.921829344
69,74.4367918795708,27.7993277777778,444521.20231151674,3075100.3758489285
70,74.4369075427656,27.7994751521148,444532.67074893514,3075116.6490032915
71,74.4369250541616,27.7992150107145,444534.2636551631,3075087.8239485384
72,74.4369911447174,27.7990364587025,444540.6833836136,3075068.015022543
73,74.4371069253471,27.7991208046303,444552.13140103687,3075077.3061737814
74,74.4370470316061,27.799316987151,444546.33103732276,3075099.065314952
75,74.4371205122889,27.7989873774743,444553.4020880424,3075062.5196569497
76,74.4372700837483,27.7991930923666,444568.24031869596,3075085.2402113844
77,74.4373532284351,27.7989556738485,444576.3101905816,3075058.9026771253
78,74.4361874818444,27.7990068708297,444461.50189221895,3075065.1004973315
79,74.4374075204357,27.7988265171871,444581.5928182902,3075044.5708643007
80,74.4372518905725,27.7990402018185,444566.37058350194,3075068.3119804356
81,74.4373825892349,27.7991009294753,444579.2761283772,3075074.980113172
82,74.4375740588376,27.7988732685438,444598.02176253416,3075049.674626304
83,74.4375436992549,27.7991110341031,444595.15171328926,3075076.026780935
84,74.436801543935,27.8000618153983,444522.52709853894,3075181.6844633026
85,74.4370256461589,27.8000436728881,444544.59332674963,3075179.573541056
86,74.4370598647338,27.7999007342995,444547.8915071094,3075163.7240793705
87,74.4370213164305,27.7997031431273,444543.99395009136,3075141.8533291076
88,74.437184082749,27.7995987800777,444559.9745145478,3075130.2190513867
89,74.436900307563,27.7996633330765,444532.05358415825,3075137.498005709
90,74.4370501086279,27.7995117189066,444546.7329949633,3075120.6353245806
91,74.4368960151834,27.7999246981664,444531.763469671,3075166.452648089
92,74.4377548594664,27.7988524171284,444615.82135048107,3075047.2832884905
93,74.4376224804619,27.7987532876015,444602.7307981493,3075036.3619103585
94,74.4377881720964,27.7989890298252,444619.1721396871,3075062.4015317117
95,74.4380181471714,27.7988770027686,444641.76954136405,3075049.8880901174
96,74.4379878951698,27.798767816223,444638.7341702899,3075037.8065917343
97,74.4379724860091,27.7991797809783,444637.42503263254,3075083.448900077
98,74.4381713793855,27.7989851844276,444656.91881783004,3075061.802864539
99,74.4384860008824,27.7991902967104,444688.0151116345,3075084.3824640745
100,74.4380278344427,27.7994269725449,444643.00249643857,3075110.8065859186
101,74.4377025314355,27.7993843814309,444610.93638419884,3075106.2351883566
102,74.4374637915941,27.7992701590986,444587.3609677828,3075093.689882785
103,74.4372136982556,27.7993107264048,444562.7456550976,3075098.2965582223
104,74.4371557664496,27.7994139825796,444557.09138432844,3075109.7608989077
105,74.4373474541417,27.7994232422819,444575.97860254714,3075110.700144378
106,74.4374344409867,27.7996065182043,444584.64035966195,3075130.963280901
107,74.4372568859679,27.7999656872103,444567.33229063515,3075170.830314624
108,74.4373948244227,27.7997336306736,444580.8023560886,3075145.0620286935
109,74.4374347389858,27.799980845346,444584.8596037706,3075172.429213961
110,74.4372540052792,27.8000987099725,444567.1160271675,3075185.5672040773
111,74.4375835121424,27.8001573665404,444599.60420181113,3075191.916236725
112,74.4372698575434,27.8003156917552,444568.787676104,3075209.5961971385
113,74.4376626522809,27.7999542388091,444607.2969795512,3075169.3790852996
114,74.4373696141169,27.8002121385086,444578.56174733443,3075198.080081543
115,74.4374912078162,27.8004451994466,444590.657670327,3075223.842543564
116,74.4376429035383,27.7996045195992,444605.1742655938,3075130.647866119
117,74.4375486026394,27.7997795839722,444595.9738012406,3075150.083138083
118,74.4377744904865,27.7998018704966,444618.23648896674,3075152.4500698163
119,74.4379047945969,27.7996303240183,444630.98531998217,3075133.388281942
120,74.437862394439,27.8000759192712,444627.03450009937,3075182.7681800164
121,74.4379605802485,27.7999549833254,444636.6451083967,3075169.327253602
122,74.4355557237124,27.7997157265264,444399.63003416115,3075143.9097276647
123,74.4357324866683,27.7997860672468,444417.07811317366,3075151.6217268906
124,74.4358716132322,27.7999243142708,444430.8532910769,3075166.8730934653
125,74.4359815510822,27.8001058661082,444441.7751922226,3075186.9347652877
126,74.4360138991569,27.7999028270904,444444.8584153921,3075164.4284964576
127,74.4362096078063,27.7999040556679,444464.13756732654,3075164.4761002488
128,74.4363825342833,27.8001063555045,444481.27472320816,3075186.8076908793
129,74.4364103743657,27.8002847295624,444484.10779231694,3075206.5544880414
130,74.4361925707823,27.8004472224626,444462.7354643017,3075224.6530833887
131,74.4366039063418,27.8003279302543,444503.1937839754,3075211.2525958754
132,74.4366726008876,27.8001416259777,444509.8659619988,3075190.583715254
133,74.436918626675,27.8004004874069,444534.2324260764,3075219.1479695323
134,74.4366022590132,27.8005152966508,444503.1267026056,3075232.008845389
